Achievements,Action,Active sport,Adrenaline sports,Age,Ageing,Alcohol,Alternative,Animated,Appearence and gestures,Art exhibitions,Assertiveness,Biology,Borrowed stuff,Branded clothing,Fear_index,Calculation_973340536937771011,Loneliness2,Number of friends 2,Happiness in life2,Cars,Celebrities,Changing the past,Charity,Cheating in school,Chemistry,Children,Classical music,Comedy,Compassion to animals,Country,"Countryside, outdoors",Criminal damage,Daily events,Dance,Dancing,Dangerous dogs,Darkness,Decision making,Documentary,Dreams,Eating to survive (group),Eating to survive,Economy Management,Education,Elections,Empathy,Energy levels,Entertainment spending (group),Entertainment spending,Fake,Fantasy/Fairy tales,Fear of public speaking,Final judgement,Finances,Finding lost valuables,Flying,Folk,Foreign languages,Friends versus money,Fun with friends,Funniness,Gardening,Gender,Geography,Getting angry,Getting up,Giving (group),Giving,God (group) 1,God (group),God2 (group),God,Happiness in life (group),Happiness in life2 (group),Happiness in life,Health,Healthy eating,Height,Heights,"Hiphop, Rap",History,Horror,House - block of flats,Hypochondria,Interests or hobbies (group),Interests or hobbies,Internet usage,Internet,Judgment calls,Keeping promises,Knowing the right people,Latino,Law,Left - right handed,Life struggles,Loneliness (group),Loneliness2 (group),Loneliness,Loss of interest,Lying,Mathematics,Medicine,Metal or Hardrock,Mood swings,Movies,Music,Musical instruments,Musical,New environment,Number of Records,Number of friends (group),Number of friends 2 (group),Number of friends,Number of siblings,Only child,Opera,PC,Parents' advice,Passive sport,Personality,Pets,Physics,Politics,Pop,Prioritising workload,Psychology,Public speaking,Punctuality,Punk,Questionnaires or polls,Rats,Reading,"Reggae, Ska",Reliability,Religion,Responding to a serious letter,Rock n roll,Rock,Romantic,Sci-fi,Science and technology,Self-criticism,Shopping centres,Shopping,Slow songs or fast songs,Small - big dogs,Smoking,Snakes,Socializing,Spending on gadgets,Spending on healthy eating (group),Spending on healthy eating,Spending on looks,Spiders,Storm,"Swing, Jazz","Techno, Trance",Theatre,Thinking ahead,Thriller,Unpopularity,Village - town,Waiting,War,Weight,Western,Workaholism,Writing notes,Writing
4,1,2,1,22,3,social drinker,3,3,4,3,4,2,4,2,24,neutral,very lonely,no friends,neutral,1,4,3,1,4,2,4,3,4,5,1,3,1,4,2,1,3,1,5,3,4,Other,4,1,secondary school,2,3,2,n,3,3,3,2,5,4,3,3,2,4,5,4,2,3,female,2,4,5,neutral,3,Other,n,Other,3,3,Other,3,4,4,170,3,3,3,3,block of flats,2,few interests,2,less than an hour a day,5,3,4,4,4,2,right handed,3,4,very lonely,4,2,sometimes,1,2,2,4,4,4,1,4,2,1,Other,no friends,2,2,no,4,3,3,4,2,5,1,2,5,4,5,4,i am often running late,1,3,1,5,2,4,1,3,4,4,4,1,2,4,2,3,3,4,tried smoking,3,3,1,eat healthy,4,3,4,1,4,1,3,5,3,3,city,3,2,52,2,3,5,2
2,5,1,1,20,1,social drinker,2,3,3,2,2,2,4,3,34,blieving god,very lonely,no friends,neutral,2,3,3,2,2,1,4,3,5,3,1,3,2,2,3,1,4,3,3,2,4,Other,5,5,secondary school,1,1,3,not be social,2,2,3,5,5,2,4,1,1,5,3,3,3,2,female,4,2,4,give less,2,4,believe in god,blieving god,4,3,Other,3,2,3,168,2,3,2,2,block of flats,4,few interests,2,most of the day,4,4,3,3,3,3,right handed,4,4,very lonely,4,1,everytime it suits me,4,1,3,2,5,5,1,3,4,1,Other,no friends,2,1,no,2,3,3,4,3,1,1,2,4,2,1,5,i am always on time,5,4,5,5,1,4,2,3,2,5,4,2,1,3,3,3,3,1,never smoked,5,3,2,eat healthy,4,4,5,3,1,1,2,2,4,4,city,3,5,76,1,3,3,4
4,3,1,1,15,1,social drinker,1,2,4,1,3,2,5,3,21,neutral,neutral,neutral,very happy,1,3,3,1,5,2,3,2,5,5,1,1,1,1,3,1,2,3,1,2,3,Other,3,1,secondary school,1,3,4,n,3,1,2,3,2,5,2,1,2,3,5,5,3,1,female,1,3,5,neutral,3,Other,n,Other,3,Other,Other,4,3,1,170,1,4,1,3,block of flats,5,neutral,3,most of the day,5,3,4,3,1,2,right handed,4,3,Other,3,5,sometimes,2,2,1,3,5,5,1,3,3,1,Other,Other,3,1,no,1,5,3,3,3,5,1,1,5,1,1,5,i am always on time,1,3,1,3,3,3,1,3,2,2,5,4,1,1,5,4,3,2,tried smoking,3,4,2,neutral,3,3,4,2,3,1,2,3,3,1,city,2,2,49,1,1,1,1
4,2,2,1,20,4,social drinker,3,5,4,1,2,1,5,5,39,neutral,neutral,neutral,neutral,4,2,2,1,5,1,4,1,4,5,1,3,1,1,4,3,2,4,3,4,4,1,1,2,secondary school,3,5,3,be social,5,1,4,4,3,2,1,2,2,3,4,5,3,1,female,1,3,4,,,Other,n,Other,3,3,Other,3,4,3,168,5,5,,4,block of flats,3,few interests,2,most of the day,5,4,4,3,3,1,right handed,5,3,Other,3,2,everytime it suits me,1,1,2,4,,5,1,2,3,1,Other,Other,3,1,no,1,3,3,5,4,5,1,2,4,2,4,5,i am often early,3,5,5,3,4,5,1,1,1,4,3,3,,3,5,4,4,5,former smoker,5,4,3,eat healthy,4,5,5,3,1,3,1,5,2,3,city,3,1,62,1,3,3,1
3,5,3,4,18,1,social drinker,2,,3,2,5,1,3,3,13,neutral,neutral,neutral,very happy,4,1,3,1,5,2,5,1,5,5,3,5,5,2,3,1,1,1,2,5,3,Other,3,1,secondary school,1,4,2,not be social,1,2,5,2,1,3,3,1,2,3,5,5,2,1,female,1,4,2,neutral,3,Other,n,Other,3,Other,Other,4,3,2,164,2,2,1,5,block of flats,1,many interests,4,most of the day,3,3,2,3,3,1,right handed,3,3,Other,3,1,everytime it suits me,2,1,3,4,5,5,2,2,3,1,Other,Other,3,3,no,1,2,3,3,3,5,1,1,3,1,3,3,i am often early,3,1,2,1,3,2,1,3,3,4,3,4,1,3,1,1,3,3,tried smoking,1,3,2,neutral,3,2,1,1,3,2,1,3,4,3,city,2,2,56,1,1,1,3
4,4,1,1,22,5,social drinker,4,5,4,4,1,2,4,1,37,blieving god,not lonely,lots of friends,very happy,1,5,1,3,1,1,5,2,5,5,1,3,4,4,2,1,5,3,5,3,4,1,1,3,college/bachelor degree,5,5,4,be social,5,1,5,3,5,5,3,5,1,3,5,5,4,5,female,1,4,1,give more,5,Other,believe in god,blieving god,5,Other,Other,5,5,1,175,3,3,2,1,block of flats,5,few interests,2,most of the day,4,5,4,2,1,1,right handed,5,2,Other,2,1,only to avoid hurting someone,1,1,2,4,4,5,1,3,1,1,Other,Other,5,1,no,1,2,4,3,4,5,1,1,4,5,5,3,i am often early,5,3,1,4,4,5,2,5,4,5,4,1,2,5,3,5,3,1,current smoker,5,1,1,eat healthy,4,5,2,5,4,1,4,5,3,3,city,3,1,57,1,2,5,5
3,1,1,2,20,2,social drinker,3,5,3,4,3,1,4,1,27,not believing god,not lonely,neutral,very happy,1,2,4,1,2,2,4,4,5,3,5,5,1,5,2,1,2,2,3,5,2,1,1,1,secondary school,1,5,3,not be social,2,3,5,5,1,4,1,2,5,1,3,4,5,3,female,2,4,1,give more,5,Other,not believe in god,Other,2,Other,Other,4,3,1,175,3,1,2,5,block of flats,4,many interests,5,most of the day,5,5,5,3,1,1,right handed,4,2,Other,2,1,sometimes,1,1,5,5,4,5,3,5,2,1,Other,Other,3,2,no,3,5,3,1,2,4,2,1,2,3,4,5,i am often early,5,4,1,4,4,4,1,4,2,5,3,4,5,5,2,5,3,2,current smoker,4,1,4,eat healthy,4,2,2,4,5,1,3,5,3,4,city,2,2,120,3,5,3,4
4,4,1,4,20,5,social drinker,5,3,5,3,4,4,5,4,30,blieving god,neutral,neutral,very happy,1,4,2,2,5,2,3,2,4,5,2,3,1,3,2,3,2,3,4,2,3,1,1,4,secondary school,5,5,3,n,3,2,3,4,4,4,3,1,1,4,5,5,4,5,female,3,4,2,neutral,3,Other,believe in god,blieving god,5,Other,Other,4,4,3,,2,2,2,1,block of flats,1,many interests,4,most of the day,3,4,4,4,2,2,right handed,4,3,Other,3,4,sometimes,2,3,2,5,5,5,3,2,4,1,Other,Other,3,2,no,1,3,4,5,3,4,1,2,3,3,2,5,i am often early,4,3,3,4,2,4,2,4,5,5,3,3,3,5,5,5,3,4,tried smoking,4,4,4,neutral,3,4,4,2,1,2,3,5,5,4,city,2,2,,1,5,5,1
2,4,1,4,19,4,social drinker,4,3,3,3,3,2,5,1,21,neutral,neutral,neutral,neutral,4,1,3,3,5,1,3,4,4,4,4,4,1,4,3,1,2,2,3,4,3,Other,4,3,primary school,5,3,3,be social,5,2,3,2,3,2,1,1,3,4,3,5,3,2,female,5,2,5,give less,2,Other,n,Other,3,3,Other,3,2,1,177,2,3,4,2,block of flats,2,many interests,4,most of the day,5,4,4,3,2,2,right handed,4,3,Other,3,2,everytime it suits me,3,3,3,4,5,4,1,3,4,1,Other,Other,3,1,no,3,4,2,4,3,2,2,4,4,2,4,2,i am often running late,3,5,2,4,4,4,4,2,4,4,3,4,4,5,1,2,3,5,tried smoking,2,3,3,eat unhealthy,1,2,2,2,3,3,3,4,4,3,city,3,4,64,2,1,1,3
4,4,3,3,18,3,social drinker,5,5,4,5,3,4,5,5,13,blieving god,not lonely,neutral,very happy,1,1,5,4,3,2,2,5,1,5,2,,4,3,1,1,1,1,5,5,4,Other,4,2,secondary school,5,5,4,not be social,2,4,4,2,4,4,3,1,5,4,5,2,1,3,female,2,1,2,give less,2,Other,believe in god,blieving god,5,Other,Other,5,3,4,165,1,1,3,2,block of flats,1,many interests,5,most of the day,5,5,4,4,1,2,right handed,5,2,Other,2,2,everytime it suits me,3,3,5,2,3,5,4,2,2,1,Other,Other,3,1,no,5,3,3,1,3,2,2,3,2,3,4,2,i am often running late,3,2,1,5,1,5,5,4,3,4,3,5,3,5,2,3,2,5,tried smoking,1,1,1,eat healthy,4,3,1,1,3,1,4,5,4,5,city,3,4,65,1,5,1,3
4,5,1,4,28,2,social drinker,4,1,2,3,4,3,4,1,23,blieving god,neutral,neutral,very happy,1,2,1,3,5,3,3,3,5,5,2,4,1,4,3,5,4,3,2,5,3,1,1,4,secondary school,3,5,4,be social,4,1,3,2,4,4,3,1,5,4,5,3,2,1,female,4,3,5,give less,1,4,believe in god,blieving god,4,Other,Other,4,2,1,172,3,1,5,1,block of flats,4,neutral,3,most of the day,5,4,3,1,3,3,right handed,3,3,Other,3,5,only to avoid hurting someone,3,4,1,4,4,5,2,3,5,1,Other,Other,3,2,no,1,2,2,1,3,2,4,2,5,4,5,2,i am often running late,1,2,2,2,1,4,5,1,1,2,3,3,4,3,4,2,3,1,former smoker,1,3,1,eat healthy,4,2,3,2,1,1,3,2,1,3,city,3,1,50,1,5,5,1
4,4,3,4,18,3,social drinker,5,3,3,3,4,2,4,5,17,not believing god,very lonely,neutral,very unhappy,1,,3,1,5,5,3,2,4,5,1,3,1,2,2,2,2,1,1,3,1,1,1,2,secondary school,3,4,4,be social,4,2,3,1,1,3,3,1,1,2,4,4,3,1,female,2,3,3,give less,1,Other,not believe in god,Other,1,Other,very unhappy,2,3,2,169,3,1,2,4,block of flats,1,many interests,4,most of the day,3,4,5,1,2,1,right handed,4,4,very lonely,4,3,only to avoid hurting someone,4,2,3,3,5,5,4,4,5,1,Other,Other,3,3,no,1,2,4,2,3,4,2,2,2,2,2,2,i am often running late,3,4,1,4,2,4,1,3,5,5,3,4,3,3,5,1,3,5,tried smoking,2,3,2,eat healthy,5,3,2,1,3,1,3,2,4,5,city,3,2,53,3,2,3,2
2,4,4,1,25,3,social drinker,5,5,5,5,5,3,5,1,34,not believing god,neutral,neutral,neutral,1,3,3,3,5,3,3,3,5,4,1,5,1,3,3,4,5,2,5,3,3,Other,3,3,college/bachelor degree,5,4,2,be social,5,1,5,5,4,3,1,2,3,5,3,5,3,1,female,5,4,5,neutral,3,Other,not believe in god,Other,2,3,Other,3,4,3,173,5,2,3,3,block of flats,1,neutral,3,most of the day,5,5,4,4,2,1,right handed,5,3,Other,3,5,sometimes,1,3,1,4,5,5,1,1,4,1,Other,Other,3,1,no,1,4,3,2,4,4,1,3,3,1,5,5,i am often running late,1,3,3,2,2,4,1,5,2,4,3,1,5,3,2,5,3,2,tried smoking,3,3,3,neutral,3,3,3,3,3,2,5,3,4,3,city,3,2,58,1,1,5,4
3,3,2,2,23,4,social drinker,3,4,4,1,3,2,1,2,37,not believing god,very lonely,lots of friends,very happy,2,5,4,2,5,1,4,2,5,5,1,5,1,2,5,4,5,3,3,5,4,1,1,3,college/bachelor degree,2,5,3,not be social,2,2,2,3,1,3,3,2,2,5,3,5,5,2,female,5,3,3,give less,2,Other,not believe in god,Other,2,Other,Other,4,4,3,172,3,3,1,2,block of flats,1,few interests,2,most of the day,5,4,4,5,3,1,right handed,3,4,very lonely,4,5,sometimes,1,2,1,2,5,5,2,1,4,1,4,Other,4,1,no,1,4,4,5,4,1,1,1,5,2,1,4,i am often running late,1,2,4,2,1,4,1,3,1,3,5,1,1,2,4,5,4,3,tried smoking,5,2,2,eat unhealthy,2,3,3,5,1,3,1,3,3,3,city,2,1,64,1,1,5,1
1,1,1,1,20,1,drink a lot,2,3,3,1,2,1,3,3,17,not believing god,not lonely,lots of friends,very happy,1,1,1,1,4,1,5,1,5,5,3,3,1,2,2,1,2,3,2,1,3,1,1,1,secondary school,2,5,4,be social,5,2,3,1,1,4,1,1,1,3,5,5,5,1,female,1,3,5,give less,2,Other,not believe in god,Other,1,Other,Other,5,2,2,170,4,1,2,2,block of flats,3,few interests,2,few hours a day,4,4,5,4,3,1,right handed,3,2,Other,2,4,everytime it suits me,1,2,4,2,4,5,1,3,5,1,4,Other,4,1,no,2,2,4,2,3,1,1,2,2,1,4,4,i am always on time,1,2,1,4,1,4,1,5,2,5,2,1,2,5,1,2,3,2,tried smoking,1,3,5,eat healthy,5,3,1,2,1,1,5,1,1,3,village,4,3,90,1,1,3,1
4,2,5,4,20,1,drink a lot,1,5,4,1,1,3,4,5,19,not believing god,neutral,neutral,very happy,1,1,1,2,2,3,5,2,5,5,2,5,1,2,2,3,3,1,3,3,4,1,1,5,college/bachelor degree,4,3,5,n,3,1,5,2,5,3,3,1,1,5,3,5,5,5,female,3,1,2,give more,4,Other,not believe in god,Other,1,Other,Other,4,1,4,163,1,1,1,4,block of flats,1,neutral,3,few hours a day,5,3,4,3,1,1,right handed,1,3,Other,3,1,never,3,3,1,3,5,5,3,1,4,1,Other,Other,3,1,no,1,3,4,1,4,4,3,1,5,2,5,5,i am always on time,1,3,3,3,1,4,1,3,3,5,4,4,4,1,4,4,3,1,never smoked,5,3,1,neutral,3,3,1,1,1,1,2,2,2,5,village,3,1,48,1,4,5,2
3,4,5,2,15,3,never,3,5,3,4,3,3,4,4,30,blieving god,very lonely,no friends,neutral,1,4,3,2,5,3,3,3,5,5,1,5,4,4,4,2,5,2,5,2,3,Other,2,1,currently a primary school pupil,1,3,5,n,3,2,5,4,3,2,3,3,2,4,4,5,3,3,female,4,5,5,neutral,3,4,believe in god,blieving god,4,3,Other,3,4,3,160,1,4,1,4,block of flats,1,many interests,5,few hours a day,5,4,4,3,2,1,right handed,4,5,very lonely,5,5,sometimes,3,2,1,5,5,5,5,2,5,1,Other,no friends,2,2,no,1,3,3,5,3,5,2,1,5,4,2,5,i am often running late,3,2,2,4,5,4,1,5,3,4,5,4,4,4,5,5,3,3,tried smoking,2,3,5,eat healthy,5,5,5,3,4,5,4,3,4,5,village,1,1,48,1,2,4,4
3,2,3,4,22,3,never,2,5,4,2,3,4,4,3,32,neutral,neutral,neutral,neutral,4,4,5,1,4,2,5,1,4,5,2,4,3,3,4,2,2,4,3,3,3,1,1,4,secondary school,3,1,3,n,3,2,5,3,4,4,1,3,2,3,4,4,3,4,female,3,3,5,give more,5,Other,n,Other,3,3,Other,3,4,3,162,5,4,2,4,block of flats,1,neutral,3,less than an hour a day,4,4,4,3,3,2,right handed,4,3,Other,3,4,sometimes,2,2,2,3,5,5,2,1,3,1,Other,Other,3,0,no,2,4,3,4,3,4,2,2,3,2,4,3,i am often early,1,2,4,3,4,3,2,3,2,3,4,2,2,2,3,4,3,3,current smoker,2,3,3,neutral,3,3,2,4,4,4,2,3,4,4,village,3,5,60,1,3,3,1
3,4,3,1,16,2,never,1,5,3,2,3,3,3,2,39,blieving god,not lonely,lots of friends,very happy,1,4,4,2,5,2,4,2,5,5,3,5,2,2,3,1,5,5,2,4,4,1,1,2,secondary school,1,4,4,n,3,2,5,4,3,2,3,4,3,4,5,5,3,3,female,2,3,2,give more,5,Other,believe in god,blieving god,5,Other,Other,4,4,3,,4,1,4,1,block of flats,3,many interests,5,less than an hour a day,3,3,3,3,2,1,right handed,4,2,Other,2,1,sometimes,3,1,1,3,3,5,5,2,3,1,4,Other,4,,no,2,2,4,5,3,1,1,1,4,3,3,3,i am often running late,1,2,3,3,1,3,5,3,1,2,4,3,2,3,3,3,4,4,tried smoking,4,2,2,eat healthy,5,3,5,3,1,1,1,3,2,4,village,3,4,,1,2,3,1
3,3,5,5,17,2,social drinker,3,4,3,5,4,3,4,5,21,neutral,neutral,lots of friends,very happy,3,1,4,3,5,1,3,3,5,5,1,5,2,4,1,3,1,3,4,5,4,1,1,5,primary school,1,3,5,be social,5,3,5,1,1,1,5,1,1,4,4,5,3,2,female,3,3,5,give less,1,Other,n,Other,3,Other,Other,4,4,3,173,1,1,5,3,block of flats,1,many interests,4,few hours a day,4,5,4,4,2,4,right handed,5,3,Other,3,1,only to avoid hurting someone,1,3,5,5,5,5,4,4,5,1,4,Other,4,1,no,2,3,4,3,3,4,1,3,1,2,4,1,i am always on time,5,3,1,4,2,2,1,5,5,5,4,3,4,3,4,4,4,3,current smoker,1,5,5,eat healthy,5,4,5,5,1,2,5,5,4,5,village,1,5,66,1,1,1,3
3,3,1,3,19,3,social drinker,1,3,4,2,2,2,5,3,29,blieving god,neutral,neutral,neutral,4,3,4,3,3,1,4,2,5,3,1,3,2,2,4,1,4,5,2,2,3,Other,2,2,secondary school,1,5,4,not be social,2,2,3,4,4,5,2,3,3,3,4,5,4,2,female,4,4,3,neutral,3,4,believe in god,blieving god,4,3,Other,3,3,3,167,2,3,4,5,block of flats,1,few interests,2,few hours a day,5,5,5,4,3,1,right handed,5,3,Other,3,1,only to avoid hurting someone,2,2,1,4,4,4,3,3,2,1,Other,Other,3,1,no,3,4,4,4,3,2,1,2,5,2,3,5,i am always on time,1,3,3,3,3,5,4,2,3,2,5,2,2,5,3,3,3,3,never smoked,3,2,1,eat unhealthy,2,3,1,1,2,1,5,2,5,3,village,2,1,58,1,4,4,1
3,4,5,4,18,1,social drinker,1,5,5,4,3,2,3,2,19,not believing god,not lonely,lots of friends,very happy,2,2,4,2,3,2,2,,5,5,1,5,2,3,4,5,2,4,1,5,3,1,1,3,secondary school,3,5,,not be social,2,1,3,2,4,4,3,1,2,5,5,5,1,2,female,4,4,2,give less,1,Other,not believe in god,Other,2,Other,Other,4,3,4,169,1,4,4,1,block of flats,1,many interests,4,few hours a day,4,4,4,4,5,2,right handed,4,2,Other,2,2,sometimes,2,2,1,3,5,5,3,3,4,1,4,Other,4,2,no,4,2,4,3,3,5,2,4,4,3,4,5,i am always on time,1,3,2,5,1,5,3,3,4,5,5,4,3,4,2,2,3,4,former smoker,2,4,2,eat healthy,4,2,2,2,3,2,5,2,2,4,village,3,2,53,1,5,4,1
3,3,2,5,25,3,social drinker,4,4,4,3,4,3,5,3,38,blieving god,very lonely,lots of friends,very happy,1,5,3,3,5,2,5,3,5,5,1,3,3,5,4,3,5,4,3,4,3,Other,3,4,masters degree,5,5,4,n,3,1,5,3,3,4,2,3,2,3,5,5,3,2,female,4,3,1,give more,5,Other,believe in god,blieving god,5,Other,Other,4,4,3,170,5,3,4,3,block of flats,3,many interests,4,few hours a day,4,5,5,5,5,4,right handed,5,4,very lonely,4,2,only to avoid hurting someone,3,1,1,3,5,4,1,3,1,1,Other,Other,5,1,no,3,3,3,4,3,5,4,5,4,4,5,2,i am often early,1,4,3,5,1,4,4,1,3,4,4,3,4,2,4,5,4,2,current smoker,5,3,3,eat healthy,4,5,5,2,3,4,4,3,4,4,village,2,1,67,1,3,5,3
2,3,2,2,22,1,social drinker,1,4,3,2,2,1,5,1,33,blieving god,very lonely,no friends,very happy,2,3,1,2,2,1,5,2,2,5,4,4,2,3,3,1,4,4,5,5,3,1,1,1,secondary school,1,5,3,not be social,1,1,4,3,4,4,4,3,3,3,4,3,2,2,female,1,2,2,neutral,3,4,believe in god,blieving god,4,Other,Other,4,4,3,170,5,2,3,1,block of flats,2,neutral,3,few hours a day,3,5,4,3,4,1,right handed,5,4,very lonely,4,3,only to avoid hurting someone,1,1,2,4,3,4,1,2,3,1,Other,no friends,2,1,no,1,1,3,3,3,5,1,1,4,4,2,3,i am often early,3,3,4,3,4,5,2,3,4,4,4,2,2,3,3,3,3,2,tried smoking,5,2,1,eat healthy,4,2,2,2,2,1,3,4,2,5,village,1,1,55,3,3,4,1
3,5,5,5,21,3,social drinker,2,5,4,4,4,3,4,1,36,blieving god,neutral,lots of friends,very unhappy,3,1,1,3,3,4,3,5,5,4,5,5,2,1,5,5,1,5,4,5,3,Other,3,2,secondary school,4,5,3,not be social,1,2,5,3,3,1,1,3,5,4,4,5,5,3,female,3,3,4,neutral,3,Other,believe in god,blieving god,5,Other,very unhappy,2,4,3,160,4,5,5,5,block of flats,2,many interests,4,few hours a day,4,5,4,3,5,2,right handed,3,3,Other,3,5,sometimes,3,2,4,3,5,5,5,5,4,1,Other,Other,5,2,no,5,2,3,5,3,3,2,3,5,2,4,3,i am often early,2,1,4,5,5,3,2,3,5,5,5,5,4,3,1,4,3,5,current smoker,5,3,1,eat healthy,4,5,5,3,5,2,4,4,5,3,village,2,5,58,5,3,1,5
1,5,2,1,19,5,social drinker,1,3,4,1,1,1,5,1,28,neutral,very lonely,no friends,neutral,1,2,5,1,5,1,1,4,5,4,4,5,3,2,1,2,5,2,4,3,3,Other,5,5,secondary school,5,5,1,n,3,2,2,5,5,4,5,1,2,5,4,5,5,3,female,5,2,5,give more,5,Other,n,Other,3,3,Other,3,5,3,168,1,3,1,4,block of flats,4,neutral,3,few hours a day,5,4,5,3,4,3,right handed,2,5,very lonely,5,1,only to avoid hurting someone,4,1,2,5,5,5,5,1,2,1,Other,no friends,2,2,no,1,4,3,5,1,1,1,4,2,1,2,5,i am often running late,2,1,3,1,4,5,1,1,3,3,5,5,2,5,1,4,3,1,never smoked,3,1,5,eat healthy,4,1,2,1,5,3,1,4,5,5,village,3,5,60,2,5,5,1
3,4,5,5,22,1,social drinker,5,5,4,5,4,3,4,3,19,blieving god,not lonely,lots of friends,very happy,4,3,1,3,3,1,5,4,5,5,2,5,2,2,5,4,1,1,2,5,4,1,1,2,college/bachelor degree,5,5,4,be social,4,2,4,3,5,3,2,1,1,5,5,5,4,2,female,4,1,4,give more,5,4,believe in god,blieving god,4,Other,Other,4,4,3,172,1,3,4,3,block of flats,1,many interests,5,few hours a day,5,5,5,5,3,3,right handed,3,Other,Other,1,1,only to avoid hurting someone,4,5,3,2,5,5,5,3,5,1,4,Other,4,1,no,2,3,4,5,4,5,5,3,3,3,5,2,i am often running late,4,3,1,2,5,4,3,3,4,5,4,4,5,4,4,5,4,4,tried smoking,5,4,3,neutral,3,3,1,4,4,3,5,4,3,4,village,4,4,60,2,4,5,3
5,3,4,3,19,4,social drinker,1,4,5,4,3,3,5,3,40,blieving god,very lonely,neutral,neutral,1,4,2,3,2,2,4,3,5,3,2,5,4,3,5,5,5,4,4,1,4,Other,2,1,college/bachelor degree,4,4,4,n,3,3,3,2,4,2,3,4,3,4,5,5,4,2,female,1,4,5,give less,1,Other,believe in god,blieving god,5,3,Other,3,4,3,168,4,5,1,3,block of flats,1,many interests,5,few hours a day,4,5,4,4,2,3,right handed,4,4,very lonely,4,5,sometimes,2,1,1,5,5,5,5,3,5,1,Other,Other,3,1,no,2,3,4,2,3,5,1,1,5,2,3,2,i am often running late,2,5,5,3,3,4,3,5,4,4,5,2,2,5,4,4,4,3,tried smoking,5,4,4,eat unhealthy,2,1,3,4,4,3,3,4,3,2,village,2,1,53,2,2,5,3
3,2,4,3,19,5,social drinker,3,5,5,4,4,4,5,1,43,blieving god,neutral,lots of friends,very happy,2,4,3,2,5,2,4,3,5,5,2,5,2,4,3,4,5,4,4,4,3,1,1,4,secondary school,3,5,4,be social,4,2,5,3,2,4,3,3,4,5,5,5,4,3,female,3,4,4,give more,4,4,believe in god,blieving god,4,Other,Other,4,4,3,168,5,3,5,3,block of flats,2,many interests,4,few hours a day,4,4,4,4,4,2,right handed,5,3,Other,3,2,sometimes,2,3,1,4,5,5,2,3,3,1,4,Other,4,2,no,2,3,3,5,4,2,2,2,3,5,4,5,i am often running late,3,3,5,5,4,3,2,4,4,4,5,2,3,5,3,4,4,2,tried smoking,5,4,2,eat healthy,4,3,5,3,3,3,4,5,2,5,village,3,4,60,2,5,5,2
3,2,2,1,19,2,social drinker,5,4,3,4,3,3,4,3,35,blieving god,neutral,lots of friends,very happy,1,1,3,2,2,2,5,4,3,5,3,5,1,2,1,5,5,4,4,3,3,1,1,1,secondary school,3,4,3,n,3,2,5,2,4,3,4,3,4,5,5,5,3,2,female,3,3,3,neutral,3,Other,believe in god,blieving god,5,Other,Other,4,2,3,164,3,1,3,1,block of flats,2,many interests,5,few hours a day,4,4,4,2,4,1,right handed,3,3,Other,3,3,sometimes,2,3,1,3,5,5,5,3,5,1,Other,Other,5,1,no,2,1,3,2,3,5,1,1,2,1,3,3,i am often running late,2,3,4,3,1,3,5,4,5,4,4,1,1,3,3,3,3,3,tried smoking,5,5,2,eat unhealthy,2,3,3,4,4,1,4,3,2,3,village,3,2,55,1,2,2,1
2,2,5,2,24,4,social drinker,3,4,5,3,5,2,5,2,30,blieving god,neutral,lots of friends,neutral,1,2,2,3,3,2,5,5,4,5,5,5,2,4,3,5,3,2,2,4,4,Other,3,5,college/bachelor degree,4,5,4,n,3,3,5,2,5,3,3,4,5,5,4,4,5,4,female,5,3,4,neutral,3,Other,believe in god,blieving god,5,3,Other,3,3,4,166,3,1,5,1,block of flats,3,many interests,5,most of the day,3,4,5,3,5,4,right handed,3,3,Other,3,4,sometimes,5,3,2,4,5,4,5,4,4,1,4,Other,4,2,no,4,3,3,5,,5,3,5,3,3,5,2,i am always on time,1,3,4,5,4,4,3,3,4,4,5,4,5,2,4,5,3,5,never smoked,4,3,2,eat healthy,4,3,2,2,4,1,4,4,1,4,village,2,3,55,3,4,5,2
2,3,1,4,20,1,,2,5,2,5,3,2,4,3,22,blieving god,neutral,neutral,very happy,1,3,1,2,2,1,5,2,5,5,2,5,1,3,5,3,2,2,1,2,2,1,1,3,college/bachelor degree,5,3,2,be social,5,2,5,2,1,1,2,1,3,5,4,5,2,1,female,5,1,4,give more,5,Other,believe in god,blieving god,5,Other,Other,4,2,,163,1,5,2,4,block of flats,1,few interests,2,few hours a day,4,5,1,4,5,3,right handed,2,3,Other,3,1,sometimes,1,1,1,2,5,5,1,2,2,1,Other,Other,3,0,yes,2,1,4,5,3,5,1,4,4,1,1,5,i am often running late,1,3,2,2,3,3,1,3,2,4,4,1,1,3,5,5,3,4,,5,1,3,eat healthy,5,5,3,3,2,3,5,2,4,3,city,1,3,48,1,2,3,1
